user,messages,degree,betweenness,closeness,pagerank,in_degree,out_degree
Павел Евтухов,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Зауре Фаритова,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Mikhail Medvedev,1,0.0,0.0,0.0,0.0023120643726148044,0,0
D G,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Василий,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Александр,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Vitaliy R,1,0.007692307692307693,0.0,0.0,0.0023120643726148044,0,1
Katerina,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Nikita Kutsepalov,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Alina Ukhalova,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Olesya,1,0.007692307692307693,0.0,0.0,0.0023120643726148044,0,1
Sherlock Holmes,1,0.007692307692307693,0.0,0.0,0.0023120643726148044,0,1
